"c1" "c2" "r1" "r2" "k" "h1" "h2" "ph1" "ph2" "kin.type" "plod"
2010 2005 2 2 0 3 3 0.783 0.783 "up" -0.017
2010 2009 2 2 0 3 3 0.783 0.783 "up" -0.043
2010 2012 2 2 0 3 3 0.783 0.783 "up" -0.033
2010 2011 2 2 0 3 3 0.783 0.783 "up" -0.015
2010 2007 2 2 0 3 3 0.783 0.783 "up" -0.038
2010 2012 2 2 0 3 3 0.783 0.783 "up" -0.028
2010 2011 2 2 0 3 5 0.783 0.045 "up" -0.028
2010 2012 2 2 0 3 5 0.783 0.045 "up" -0.034
2010 2012 2 2 0 3 11 0.783 0.014 "up" -0.049
2010 2012 2 2 0 3 11 0.783 0.014 "up" -0.023
2010 2011 2 2 0 3 3 0.783 0.783 "up" -0.036
2010 2010 2 2 0 3 3 0.783 0.783 "up" -0.01
2010 2012 2 2 0 3 3 0.783 0.783 "up" -0.027
2010 2012 2 2 0 3 3 0.783 0.783 "up" -0.041
2010 2012 2 2 0 3 9 0.783 0.063 "up" -0.031
2010 2013 2 2 0 3 3 0.783 0.783 "up" -0.024
2010 2012 2 2 0 3 3 0.783 0.783 "up" -0.041
2010 2012 2 2 0 3 3 0.783 0.783 "up" -0.017
2010 2012 2 2 0 3 5 0.783 0.045 "up" -0.022
2010 2013 2 2 0 3 3 0.783 0.783 "up" -0.047
2010 2012 2 2 0 3 9 0.783 0.063 "up" -0.029
2010 2013 2 2 0 3 3 0.783 0.783 "up" -0.011
2010 2012 2 2 0 3 3 0.783 0.783 "up" -0.035
2010 2013 2 2 0 3 3 0.783 0.783 "up" -0.042
2010 2008 2 2 0 3 10 0.783 0.018 "up" -0.048
2010 2007 2 2 0 3 3 0.783 0.783 "up" -0.025
2010 2009 2 2 0 3 9 0.783 0.063 "up" -0.036
2010 2006 2 2 0 3 3 0.783 0.783 "up" -0.03
2010 2006 2 2 0 3 5 0.783 0.045 "up" -0.033
2010 2009 2 2 0 3 1 0.783 0.018 "up" -0.026
2010 2010 2 2 0 3 3 0.783 0.783 "up" -0.042
2010 2010 2 2 0 3 9 0.783 0.063 "up" -0.028
2010 2011 2 2 0 3 9 0.783 0.063 "up" -0.039
2010 2008 2 2 0 3 3 0.783 0.783 "up" -0.038
2010 2007 2 2 0 3 3 0.783 0.783 "up" -0.036
2010 2007 2 2 0 3 9 0.783 0.063 "up" -0.03
2010 2011 2 2 0 3 3 0.783 0.783 "up" -0.03
2010 2011 2 2 0 3 3 0.783 0.783 "up" -0.021
2010 2011 2 2 0 3 2 0.783 0.009 "up" -0.014
2010 2010 2 2 0 3 5 0.783 0.045 "up" -0.024
2010 2010 2 2 0 3 3 0.783 0.783 "up" -0.034
2010 2011 2 2 0 3 3 0.783 0.783 "up" -0.029
2010 2006 2 2 0 3 3 0.783 0.783 "up" -0.038
2010 2011 2 2 0 3 3 0.783 0.783 "up" -0.029
2010 2012 2 2 0 3 3 0.783 0.783 "up" -0.019
2010 2011 2 2 0 3 9 0.783 0.063 "up" -0.023
2010 2011 2 2 0 3 9 0.783 0.063 "up" -0.033
2010 2013 2 2 0 3 3 0.783 0.783 "up" -0.024
2010 2012 2 2 0 3 3 0.783 0.783 "up" -0.034
2010 2009 2 2 0 3 3 0.783 0.783 "up" -0.023
